id,name,description,brand,link,sizeVariants,color,hexColor,coverage,images,type
1,Alpina Weiß,Es ist eine weiße Wandfarbe.,Alpina,https://www.obi.de/weisse-wandfarben/alpinaweiss-wandfarbe-das-original-spritzfrei-10-2-l/p/9517558,"[{""size"":2,""price"":24.99},{""size"":10,""price"":49.99},{""size"":20,""price"":89.99}]",[1],#FFFFFF,125,"[""https://images.obi.de/product/AT/415x415/948312_1.jpg""]",wall paint
2,OBI Wandfarbe - Arcticweiß,Es ist eine weiße Wandfarbe.,Obi,https://www.obi.de/weisse-wandfarben/obi-wandfarbe-arcticweiss-matt-10-l/p/7748643,"[{""size"":1,""price"":8.99},{""size"":5,""price"":24.99},{""size"":10,""price"":36.99},{""size"":15,""price"":52.99}]",[1],#FFFFFF,142.86,"[""https://images.obi.de/product/DE/415x415/774864_1.jpg""]",wall paint
3,Schöner Wohnen Trendfarbe - Cosy White,Es ist eine weiße Wandfarbe.,Schöner Wohnen,https://www.obi.de/bunte-wandfarben/schoener-wohnen-trendfarbe-cosy-white-matt-2-5-l/p/7670383,"[{""size"":2.5,""price"":28.49}]",[1],#F0F0F0,100,"[""https://images.obi.de/product/DE/415x415/767038_1.jpg""]",wall paint
4,Schöner Wohnen Designfarben - Leichtes Leinenbeige,Es ist eine beige Wandfrabe.,Schöner Wohnen,https://www.obi.de/bunte-wandfarben/schoener-wohnen-designfarben-leichtes-leinenbeige-matt-2-5-l/p/7555907,"[{""size"":2.5,""price"":34.99}]",[12],#FCF7F1,83.33,"[""https://images.obi.de/product/DE/415x415/755590_1.jpg""]",wall paint
5,Alpina Farbrezepte - Wolkenreise,Es ist eine weiße Wandfarbe.,Alpina,https://www.obi.de/bunte-wandfarben/alpina-farbrezepte-wolkenreise-matt-2-5-liter/p/8119257,"[{""size"":1,""price"":15.99},{""size"":2.5,""price"":29.99}]","[1,12]",#F5F0EA,100,"[""https://images.obi.de/product/AT/415x415/179952_1.jpg""]",wall paint
6,Alpina Farbrezepte - Muschelweiß,Es ist eine beige Wandfrabe.,Alpina,https://www.obi.de/bunte-wandfarben/alpina-farbrezepte-muschelweiss-matt-2-5-liter/p/8121105,"[{""size"":1,""price"":15.99},{""size"":2.5,""price"":29.99}]","[1,12]",#FDF5E8,100,"[""https://images.obi.de/product/DE/415x415/812110_5.jpg""]",wall paint
7,Alpina Feine Farben No. 24 - Zarte Romantik,Es ist eine rosa Wandfrabe.,Alpina,https://www.obi.de/bunte-wandfarben/alpina-feine-farben-no-24-zarte-romantik-edelmatt-2-5-liter/p/5905856,"[{""size"":2.5,""price"":39.99}]",[10],#F7E8E5,100,"[""https://images.obi.de/product/DE/415x415/590585_1.jpg""]",wall paint
8,Alpina Feine Farben No. 8 - Elegante Gelassenheit,Es ist eine beige Wandfrabe.,Alpina,https://www.obi.de/bunte-wandfarben/alpina-feine-farben-no-8-elegante-gelassenheit-edelmatt-2-5-liter/p/5905625,"[{""size"":2.5,""price"":39.99}]","[1,12]",#DDD6CC,100,"[""https://images.obi.de/product/AT/415x415/587932_1.jpg""]",wall paint
9,Alpina Farbrezepte - Ein Hauch von Gelb,Es ist eine gelbe Wandfarbe.,Alpina,https://www.obi.de/bunte-wandfarben/alpina-farbrezepte-ein-hauch-von-gelb-matt-2-5-liter/p/3915485,"[{""size"":1,""price"":15.99},{""size"":2.5,""price"":29.99}]","[4,12]",#F5F3DC,100,"[""https://images.obi.de/product/DE/415x415/391548_1.jpg""]",wall paint
10,Schöner Wohnen Trendfarbe - Wool,Es ist eine weiße Wandfarbe.,Schöner Wohnen,https://www.obi.de/bunte-wandfarben/schoener-wohnen-trendfarbe-wool-matt-5-l/p/8448847,"[{""size"":5,""price"":49.99}]","[1,12]",#F1F7DD,100,"[""https://images.obi.de/product/DE/415x415/844884_1.jpg""]",wall paint
11,Alpina Farbrezepte - Kieselstrand,Es ist eine graue Wandfarbe.,Alpina,https://www.obi.de/bunte-wandfarben/alpina-farbrezepte-kieselstrand-matt-2-5-liter/p/5333711,"[{""size"":1,""price"":15.99},{""size"":2.5,""price"":29.99}]",[3],#CCCDCF,100,"[""https://images.obi.de/product/DE/415x415/533371_1.jpg""]",wall paint
12,Schöner Wohnen Trendfarbe - Macaron,Es ist eine grüne Wandfrabe.,Schöner Wohnen,https://www.obi.de/bunte-wandfarben/schoener-wohnen-trendfarbe-macaron-matt-2-5-l/p/6048649,"[{""size"":2.5,""price"":28.49}]",[6],#D0E7DF,100,"[""https://images.obi.de/product/DE/415x415/604864_2.jpg""]",wall paint
13,Alpina Farbrezepte - Mandelblüte,Es ist eine rosa Wandfrabe.,Alpina,https://www.obi.de/bunte-wandfarben/alpina-farbrezepte-mandelbluete-matt-1-liter/p/5333653,"[{""size"":1,""price"":15.99},{""size"":2.5,""price"":29.99}]",[10],#FADFE8,100,"[""https://images.obi.de/product/AT/415x415/441555_2.jpg""]",wall paint
14,OBI Design Color - Sanddüne,Es ist eine gelbe Wandfarbe.,Obi,https://www.obi.de/bunte-wandfarben/obi-design-color-matt-sandduene-2-5-l/p/9465683,"[{""size"":1,""price"":11.99},{""size"":2.5,""price"":22.99}]","[4,12]",#FEF0CD,100,"[""https://images.obi.de/product/DE/415x415/946568_1.jpg""]",wall paint
15,Alpina Farbrezepte - Sweet Home,Es ist eine beige Wandfrabe.,Obi,https://www.obi.de/bunte-wandfarben/alpina-farbrezepte-sweet-home-matt-2-5-liter/p/3915493,"[{""size"":1,""price"":15.99},{""size"":2.5,""price"":29.99}]","[4,12]",#FEE3C5,100,"[""https://images.obi.de/product/DE/415x415/391549_1.jpg""]",wall paint
16,Alpina Farbrezepte - Luftschloss,Es ist eine blaue Wandfarbe.,Alpina,https://www.obi.de/bunte-wandfarben/alpina-farbrezepte-luftschloss-matt-2-5-liter/p/3800455,"[{""size"":1,""price"":15.99},{""size"":2.5,""price"":29.99}]",[5],#BCD7F2,100,"[""https://images.obi.de/product/HU/415x415/337601_1.jpg""]",wall paint
17,Alpina Feine Farben No. 7 - Zauber der Wüste,Es ist eine beige Wandfrabe.,Alpina,https://www.obi.de/bunte-wandfarben/alpina-feine-farben-no-7-zauber-der-wueste-edelmatt-2-5-liter/p/5905617,"[{""size"":2.5,""price"":39.99}]",[12],#C6BDAE,100,"[""https://images.obi.de/product/DE/415x415/590561_1.jpg""]",wall paint
18,Alpina Feine Farben No. 23 - Wolken in Rose,Es ist eine rosa Wandfrabe.,Alpina,https://www.obi.de/bunte-wandfarben/alpina-feine-farben-no-23-wolken-in-rose-edelmatt-2-5-liter/p/5905815,"[{""size"":2.5,""price"":39.99}]",[10],#DCC0BD,100,"[""https://images.obi.de/product/DE/415x415/590581_1.jpg""]",wall paint
19,Schöner Wohnen Trendfarbe - Finca,Es ist eine beige Wandfrabe.,Schöner Wohnen,https://www.obi.de/bunte-wandfarben/schoener-wohnen-trendfarbe-finca-matt-2-5-l/p/8448755,"[{""size"":1,""price"":14.99},{""size"":2.5,""price"":28.49}]",[12],#CDBCAA,100,"[""https://images.obi.de/product/AT/415x415/845934_1.jpg""]",wall paint
20,Alpina Feine Farben No. 15 - Licht der Gletscher,Es ist eine türkise Wandfrabe.,Alpina,https://www.obi.de/bunte-wandfarben/alpina-feine-farben-no-15-licht-der-gletscher-edelmatt-2-5-liter/p/5905708,"[{""size"":2.5,""price"":39.99}]","[5,6,15]",#ABD1D1,100,"[""https://images.obi.de/product/DE/415x415/590570_1.jpg""]",wall paint
21,OBI Design Color - Kaschmir,Es ist eine beige Wandfrabe.,Obi,https://www.obi.de/bunte-wandfarben/obi-design-color-matt-kaschmir-2-5-l/p/9465642,"[{""size"":1,""price"":11.99},{""size"":2.5,""price"":22.99}]","[9,12]",#CDBDA4,100,"[""https://images.obi.de/product/DE/415x415/946564_1.jpg""]",wall paint
22,Schöner Wohnen Designfarben - Heiteres Sonnengelb,Es ist eine gelbe Wandfarbe.,Schöner Wohnen,https://www.obi.de/bunte-wandfarben/schoener-wohnen-designfarben-heiteres-sonnengelb-matt-2-5-l/p/7555584,"[{""size"":2.5,""price"":34.99}]",[4],#FFF4B4,83.33,"[""https://images.obi.de/product/DE/415x415/755558_1.jpg""]",wall paint
